,loading_comp1_estimate,loading_comp1_68%_low,loading_comp1_68%_upper,loading_comp1_95%_low,loading_comp1_95%_upper,loading_comp1_99%_low,loading_comp1_99%_upper,loading_comp1_99.7%_low,loading_comp1_99.7%_upper,loading_comp1_consistency
deg_L-POR,-0.32041339340899666,-0.39771942773827196,-0.18235962738260791,-0.45550435228845193,-0.010880820653884227,-0.484339752752479,0.11808842500395024,-0.5001911835680856,0.19179505804552502,0.02
deg_L-PTR,-0.09983820302644189,-0.20870132472895925,0.033852482348851784,-0.29957257345191307,0.16712547075944809,-0.3440211288757768,0.25091657335953993,-0.38181829079173757,0.30873687668100347,0.4966
deg_L-PCAL,0.08491993369219947,0.0010203818349579891,0.16105583562918205,-0.06920078340980367,0.240314849588745,-0.11443631815733647,0.28561955377783776,-0.14264716426869625,0.31691122818099854,0.9372
deg_L-PoCG,-0.1531225178409915,-0.24992163250768526,-0.019486753745781803,-0.3336144790247568,0.1254571352957683,-0.38033295033516973,0.215369455150126,-0.4034751771460329,0.28697124912933797,0.23
deg_L-PCG,0.21539489044862237,0.12118375220007897,0.2765674168053426,0.04173733165258758,0.33671315405173186,-0.012431431205285667,0.36413821164982874,-0.052141681191611396,0.38008772518415507,0.1972
deg_L-PrCG,0.032583193276126014,-0.09576795030995222,0.16431916524872603,-0.2173960084429214,0.2903716566078858,-0.28901076405713017,0.36596552525186293,-0.33079864628035277,0.3948357465696512,0.287
deg_L-PCU,-0.0016431010499737718,-0.13747348488233546,0.14302810662863344,-0.2603040190668885,0.27232045421111184,-0.3447799632538156,0.35672299353538234,-0.39232741360480927,0.3965676688138643,0.151
deg_L-RACG,0.07134348347230028,-0.021522753505704432,0.15509188682511302,-0.10422113471827422,0.2313805726649146,-0.16282743180449114,0.2752047049068776,-0.19512177265887592,0.2971572172841148,0.7686
deg_L-RMFG,-0.12015673889086835,-0.23887682645061614,0.02372042867911443,-0.3347829222785322,0.16392298354713583,-0.3883186360781426,0.2666716611169576,-0.42744108967765143,0.3227772607171493,0.6202
deg_L-SFG,-0.303479712491591,-0.4025119087141806,-0.15043160782323117,-0.4816697472619964,0.03787396446339325,-0.5238837474786642,0.14877266180980647,-0.5541497341288908,0.23321234456747825,0.994
deg_L-SPG,-0.08235399904384585,-0.2207936408394193,0.0800405345566322,-0.33800017520632947,0.23930245478581103,-0.4121158016883732,0.3383484690964043,-0.4701138419241223,0.3947346104180522,0.4954
deg_L-STG,-0.22751106602996315,-0.3405195365463261,-0.07049262409839738,-0.42771177606848637,0.09410979129277341,-0.47110543261414145,0.20922618125803608,-0.504228366288891,0.2717944462722246,0.4236
deg_L-SMG,-0.03305025199689735,-0.15166525858097304,0.09673365275161476,-0.24989918159277025,0.22195935461545865,-0.3160456561069707,0.2963825812967246,-0.3452381222500472,0.3613865515903595,0.1954
deg_L-FP,-0.26304018717554306,-0.3013481911700155,-0.1763771765276257,-0.33472439962515577,-0.03687268119347328,-0.3541751518594777,0.10343354973467668,-0.3717665440129674,0.1794982562363831,0.3702
deg_L-TP,-0.3291237041023297,-0.3548911322315432,-0.2430815659257592,-0.3835369357818081,-0.11601788147816215,-0.39827229890519683,0.0210223466911878,-0.4089420044088293,0.09252192225900312,0.9794
deg_L-TTG,0.22436117269276495,0.12411070855935913,0.28853597785558516,0.012035587038115062,0.3487346029392251,-0.07723868534421184,0.3825509469488646,-0.12975414097258411,0.40603448330521796,0.9762
deg_L-IN,0.0965155803318253,-0.030366538108044818,0.20901049275497013,-0.13418038157384654,0.3105965741668277,-0.2099715299268902,0.37396204836033536,-0.2597573132046755,0.4047673713312213,0.7656
deg_L-CER,-0.01764581428657421,-0.08299387046748934,0.06391466787081115,-0.15424034477006682,0.13910066158226,-0.2061684441240388,0.1842007676966018,-0.23505277002032743,0.2092335705298866,0.6468
deg_L-TH,0.04776961333659996,-0.08716136277758442,0.18158501484323897,-0.19613964121542563,0.3079379441744382,-0.2680273796510789,0.38573796222217954,-0.2910485872015302,0.4368278137693372,0.8132
deg_L-CA,0.11734728259727323,0.014701770507106906,0.21433743457229215,-0.06886045957849604,0.3244227178945453,-0.11348303383117456,0.3849298968686563,-0.14688251315593323,0.4068487868213809,0.8394
deg_L-PU,0.03308726825695705,-0.1240159227659105,0.18819657935283723,-0.26631959617467227,0.3255416956604807,-0.366558288963932,0.4140251981346424,-0.433878906926473,0.4625968464154613,0.4448
deg_L-PA,0.01797744640343722,-0.09097959497564584,0.12839122711929865,-0.19768586641121472,0.22964006718278854,-0.2733629994372618,0.2882326653541875,-0.3402301328322053,0.31858141232659104,0.4722
deg_L-HI,0.14352976103903575,0.035833397838668124,0.23548865104537892,-0.07030135882460865,0.32673863577115464,-0.15592058740397452,0.3816115505540885,-0.20732723746255702,0.4015572266967681,0.5192
deg_L-AM,0.18828874151749037,0.10278202726852355,0.24145203306189528,0.006443690536516082,0.29788103569630736,-0.1151033140770653,0.3317597267661919,-0.1860896292410255,0.3460222168483388,0.146
deg_L-AC,-0.12333855945206385,-0.18111985376204742,-0.039143131731355765,-0.22681504878213213,0.05873093732849839,-0.256197649564684,0.12782692081120037,-0.270604562157097,0.16419045360346116,0.847
deg_R-TH,0.045180085104342696,-0.09150177993060721,0.17984600516485671,-0.19645190356487718,0.30683584621409443,-0.2690072965425047,0.38799985758598726,-0.2935935824319042,0.438307790736928,0.8582
deg_R-CA,0.0866094717120497,-0.010690737315924336,0.18426488426318272,-0.09258706444083885,0.2984365233665932,-0.1427379141577585,0.3640325358745131,-0.17597729605852072,0.38677135376749683,0.7968
deg_R-PU,0.0009045419016476743,-0.16000352520801203,0.1622526519811638,-0.30565875839277035,0.31581704374509895,-0.40660220346726034,0.40661236303356574,-0.4648036504281083,0.45860101023138716,0.5684
deg_R-PA,0.027031853404154888,-0.07766128730756551,0.13159449760708383,-0.18720972724325113,0.23256506008175012,-0.25369106840679506,0.28918155801112977,-0.30677419586236954,0.3167342471423334,0.4664
deg_R-HI,0.12763780609824613,0.0006405308393033066,0.2427785728633028,-0.11791441123881441,0.35498864084966997,-0.22111968514639085,0.423644520349475,-0.2615318234294437,0.44661683506950234,0.4026
deg_R-AM,0.18805620803373949,0.09482417100547125,0.24742425635550372,-0.009333079518155252,0.30632453946419325,-0.12542368340903778,0.3412015796280567,-0.17864509449205684,0.36006520878484044,0.272
deg_R-AC,-0.0955012461290624,-0.15936364917845824,-0.010657700523107078,-0.20632505145514948,0.09531309359549293,-0.23457570509977602,0.16145784542982197,-0.2543056076981859,0.20085999188312123,0.2044
deg_R-BSTS,0.019507744970408154,-0.08797944751834523,0.13138944385878643,-0.1738464648451015,0.24588780252681297,-0.23025252912048463,0.30678273378718307,-0.2543389761552572,0.33937289638624235,0.9032
deg_R-CACG,0.1749867595960533,0.06798941553246919,0.2520154609833595,-0.03327441368456784,0.3255659302731836,-0.10600445076438579,0.3702337390734689,-0.1660788195472245,0.3891568755322863,0.2032
deg_R-CMFG,0.08281468410187748,-0.019246588379041897,0.17628104023290553,-0.11556087782725845,0.26635763990823424,-0.17680804062568908,0.31890897249221506,-0.2325226151375951,0.34215697395694106,0.268
deg_R-CU,-0.20133066225431656,-0.27901687912711914,-0.0783299386931074,-0.34003135495397374,0.06780575702985621,-0.37759611070281596,0.1614044875943677,-0.39597538692509765,0.23269447651301678,0.4118
deg_R-EC,-0.11507433044014273,-0.13747808979097328,-0.06505044107921021,-0.16594921515094602,-0.018944955601556894,-0.18321158415434635,0.018836604380583172,-0.19901735919412242,0.06268541097705123,0.513
deg_R-FG,0.19780209453677042,0.08020061809066266,0.2863859544852954,-0.049335740876822035,0.3688163392144204,-0.16354058228783552,0.41334520413647374,-0.2391878941982505,0.43522870797819463,0.8654
deg_R-IPG,-0.05619662790369723,-0.1953174259503293,0.0996828056332536,-0.30332098280178726,0.2464368688046174,-0.38174204907157666,0.32967999605280096,-0.4156715335087121,0.3874688440600909,0.0144
deg_R-ITG,-0.1988563152678034,-0.3293315107634125,-0.027957909879905287,-0.4230543947950945,0.1616311398031687,-0.47930415280999367,0.27839153869683125,-0.5150769830883757,0.3510147369962976,0.0424
deg_R-ICG,0.10755380148444688,-0.014119238493580167,0.21997095421607965,-0.10965424003251337,0.3269254422927571,-0.17091907420033248,0.3878522886125399,-0.20529413887378117,0.4125490809278994,0.9172
deg_R-LOG,-0.24231094564104194,-0.3510687607673521,-0.08238500122962554,-0.4343857037930315,0.09486318220132703,-0.4856432209012525,0.19996966680017042,-0.5161792899157743,0.2592799768226923,0.7648
