,loading_comp1_estimate,loading_comp1_68%_low,loading_comp1_68%_upper,loading_comp1_95%_low,loading_comp1_95%_upper,loading_comp1_99%_low,loading_comp1_99%_upper,loading_comp1_99.7%_low,loading_comp1_99.7%_upper,loading_comp1_consistency
BIPauto,-0.012446205908383284,-0.05412022519609811,0.009522532517814028,-0.16912559000154243,0.028593818252065088,-0.2795421941492464,0.0439465339233786,-0.34760385867422017,0.07941597230924956,0.2768
CANNABISauto,-0.13651919615179586,-0.19780520122584383,-0.10758689798427994,-0.27743469960248074,-0.07255725726629646,-0.3246432985727676,-0.03463843043999048,-0.3535343207297712,-0.003086533102338958,0.3382
CROSSauto,0.0386504029696505,0.005322750847554049,0.059913576548636785,-0.06242894736151403,0.08238261361413939,-0.13525237802329088,0.09992418459936876,-0.17532177947507005,0.12513389441854306,0.0806
DRINKauto,-0.04963248471169537,-0.09628317102027786,-0.021382216494226128,-0.16887243984353836,0.017041847615450693,-0.2288689625855414,0.05766218158895903,-0.27963835555033045,0.08863469612645675,0.1822
EDauto,-0.036371741767511206,-0.06072817904420587,-0.020842233051845863,-0.13158414951311184,-0.0044805476020859155,-0.19497062986514269,0.00969137489643567,-0.27454290748568744,0.01784113668241591,0.193
NEUROTICISMauto,0.16894699985757242,0.14342240184013424,0.19343982133700835,0.1153340687303857,0.24887077959759246,0.07999158640636905,0.3254737674126488,0.028328343715099315,0.35851839580241995,0.1052
OCDauto,-0.025048367700287854,-0.05074832892707089,-0.004085100016196855,-0.13126584293865914,0.013468412565213521,-0.1901075408266091,0.023534929812293957,-0.24596949830151815,0.03426254472642507,0.2462
RISK4PCauto,0.04337086200147247,-0.04738587789000878,0.10253643755879004,-0.12806867810802713,0.17636592110320948,-0.19722394508674887,0.25557077623041824,-0.2291575376152954,0.3145552067795969,0.0006
SCZ_METAauto,0.10182804997493901,0.06801557806694294,0.12346999413222093,0.016788431988208508,0.14881482518976122,-0.03966503674344154,0.17758574799605756,-0.0827348912236638,0.20366690994407796,0.0032
SMOKERauto,0.2861933942602973,0.1771112486399533,0.333183618706731,0.12171853326098199,0.42059006424835027,0.08125268428651584,0.48529491185051377,0.0527702389058032,0.5529823272932609,0.7542
WORRYauto,0.10511597992017419,0.07429878801235243,0.14134570050388168,0.03873916057572144,0.1876828403226769,-0.014003266948781325,0.24068231561682604,-0.07826557218989874,0.280212100124849,0.0198
ANXIETYauto,0.060197687843401945,0.04116668946805011,0.07276077608212207,0.01467715859256953,0.08703616197372452,-0.0460495993778699,0.1034599296025118,-0.11022291560679201,0.15418216656919867,0.0372
RISKTOLauto,0.05607636707898939,0.010112432148746084,0.09400903511948192,-0.03538358304861482,0.12839657399749466,-0.07084550023339198,0.16425549478316953,-0.09731912396730992,0.1982949345055812,0.0248
Happieur4,-0.01117758986592613,-0.025693690599154342,0.003206692806397838,-0.04082151363741457,0.0255532145902194,-0.051295875409545874,0.08743346220667426,-0.061686637551089885,0.12418131029173518,0.0468
GHappieur2,-0.008462146953067417,-0.024107590512147843,0.004169091717068008,-0.038708162479671876,0.019682444865077673,-0.052767504485505184,0.03634840095481748,-0.07629262837534277,0.05027080474839149,0.0034
GHappiMeaneur1,0.005224483302494793,-0.007829579185720201,0.01924513382075803,-0.021515029496952116,0.033890804981437865,-0.03251461400521883,0.05297719787417627,-0.06108348346821444,0.09675745805633659,0.007
GHappiHealth6,-0.006265862960302972,-0.02167989469318354,0.0061425871027541955,-0.04887383125025547,0.019487576451464518,-0.11015063465096415,0.02861362395439649,-0.14831947867436038,0.03644266016570987,0.0706
